
1842: Nov. 20,Vindictive,China,Hobart,7,
1842: Nov. 22,Royal Saxon,London via Cork,Launceston,73,
1842: Nov. 23,Calcutta,London,Hobart,3,
1842: Nov. 28,Sir Charles Napier,Plymouth,Hobart,220,
1842: Dec. 3,Munro,Leith,Hobart,11,
1842: Dec. 22,Auriga,London,Hobart,3,
1843: Jan. 6,Tasmania,London,Hobart,4,
1843: Jan. 10,Royal Sovereign,London via Cork,Launceston,48,
1843: Jan. 28,King William,London via Plymouth,Hobart,267,
1843: Feb. 9,Elizabeth and Jane,London,Launceston,53,
1843: Mar. 27,Agostina,London,Launceston,2,
1843: Apr. 4,Brankemoor,London via Cork,Launceston,45,
1843: Apr. 10,John Renwick,London,Hobart,2,
1843: Jun. 23,Rajah,Leith,Hobart,5,
1843: Sep. 21,Psyche,London,Hobart,3,
1843: Oct. 16,Mandarin,London,Hobart,51,
1843: Nov. 3,Henry,London,Launceston,6,
1851: Aug. 28,Beulah,Plymouth,Hobart,812,
1851: Oct. 3,Australasia,The Downs,Hobart,41,
1851: Nov. 2,Calcutta,Plymouth,Hobart,714,
1852: Dec. 5,Australasia,Plymouth,Hobart,221,
1853: Jan. 10,Louisa,Plymouth,Hobart,208,
1853: Jan. 20,Derwentwater,London,Hobart,26,
1853: Mar. 1,Midlothian,Kingston,Hobart,12,
1853: Mar. 6,Northumberland,Liverpool,Launceston,274,
1853: Apr. 27,Panama,Liverpool,Hobart,298,
1853: May 6,Mohammed Shah ,London,Hobart,21,
1853: May 6,Eucalyptus,Melbourne,Hobart,17,
1853: May 12,Creole,Melbourne,Hobart,9,
1853: May 13,Flying Squirrel​,Melbourne,Hobart,1,
1853: May 15,Thomas and Joseph Crisps,London,Launceston,7,
1853: May 22,Harriett Nathan,Melbourne,Hobart,12,
1853: May 28,Emma Prescott,Melbourne,Hobart,8,
1853: Jun. 13,Pryde,Melbourne,Hobart,10,
1853: Jun. 21,Circassian,Melbourne,Hobart,5,
1853: Jun. 22,Creole,Melbourne,Hobart,30,
1853: Jul. 1,Eucalyptus,Melbourne,Hobart,13,
1853: Jul. 7,Flying Squirrel,Melbourne,Hobart,32,
1853: Jul. 17,Tasmania,Melbourne,Hobart,6,
1853: Jul. 17,Coromandel,Southhampton,Hobart,344,
1853: Jul. 25,Harriett Nathan,Melbourne,Hobart,55,
1853: Jul. 25,Emma Prescott,Melbourne,Hobart,18,
1853: Jul. 31,Circassian,Melbourne,Hobart,9,
1853: Aug. 1,Euphemia,Melbourne,Hobart,39,
1853: Aug. 4,Creole,Melbourne,Hobart,30,
1853: Aug. 13,Pilot,Melbourne,Hobart,8,
1853: Aug. 14,Pryde,Melbourne,Hobart,26,
1853: Aug. 21,Eucalyptus,Port Albert,Hobart,43,
1853: Aug. 24,Sword Fish,Melbourne,Hobart,16,
1853: Aug. 31,Margaret Thompson,Melbourne,Hobart,16,
1853: Sep. 11,Emma Prescott,Melbourne,Hobart,7,
1853: Sep. 13,Harriett Nathan,Melbourne,Hobart,12,
1853: Sep. 15,Circassian,Melbourne,Hobart,14,
1853: Sep. 28,Euphemia,Melbourne,Hobart,3,
1853: Sep. 28,Creole,Melbourne,Hobart,20,
1853: Oct. 9,Eucalyptus,Melbourne,Hobart,12,
1853: Oct. 16,Sword Fish,Melbourne,Hobart,5,
1853: Oct. 20,Fortitude,London,Hobart,13,
1853: Oct. 22,Margaret Thompson,Melbourne,Hobart,3,
1853: Nov. 1​,Emma Prescott,Melbourne,Hobart,6,
1853: Nov. 8,Creole,Melbourne,Hobart,24,
